,UID,Latitude,Longitude,Time,loc_id
0,000,39.986,116.354,2009-04-03 08:11:15,0
1,000,39.986,116.355,2009-04-03 08:11:20,1
2,000,39.986,116.355,2009-04-03 08:11:25,1
3,000,39.986,116.356,2009-04-03 08:11:30,2
4,000,39.986,116.357,2009-04-03 08:11:35,3
5,000,39.986,116.357,2009-04-03 08:11:40,3
6,000,39.986,116.358,2009-04-03 08:11:45,4
7,000,39.986,116.359,2009-04-03 08:11:50,5
8,000,39.986,116.359,2009-04-03 09:45:40,5
9,000,39.986,116.358,2009-04-03 09:45:45,4
10,000,39.986,116.357,2009-04-03 09:45:50,3
11,000,39.986,116.356,2009-04-03 09:45:55,2
12,000,39.986,116.355,2009-04-03 09:46:00,1
13,000,39.986,116.354,2009-04-03 09:46:05,0
14,000,39.986,116.359,2009-04-06 05:12:25,5
15,000,39.986,116.358,2009-04-06 05:12:30,4
16,000,39.986,116.357,2009-04-06 05:12:35,3
17,000,39.986,116.356,2009-04-06 05:12:40,2
18,000,39.986,116.355,2009-04-06 05:12:45,1
19,000,39.986,116.354,2009-04-06 05:12:50,0
20,000,39.986,116.353,2009-04-06 05:12:55,6
21,000,39.986,116.351,2009-04-06 05:13:00,7
22,000,39.986,116.358,2009-04-29 15:32:20,4
23,000,39.986,116.357,2009-04-29 15:32:25,3
24,000,39.986,116.358,2009-05-03 04:22:21,4
25,000,39.986,116.359,2009-05-03 06:37:57,5
26,000,39.986,116.359,2009-05-23 13:00:49,5
27,000,39.986,116.358,2009-05-23 13:00:54,4
28,000,39.986,116.357,2009-05-23 13:00:59,3
29,000,39.986,116.355,2009-05-23 13:01:04,1
30,000,39.986,116.354,2009-05-23 13:01:09,0
31,000,39.986,116.359,2009-06-05 02:01:42,5
32,000,39.986,116.358,2009-06-05 02:01:47,4
33,000,39.986,116.357,2009-06-05 02:01:52,3
34,000,39.986,116.357,2009-06-05 02:01:57,3
35,000,39.986,116.356,2009-06-05 02:02:02,2
36,000,39.986,116.355,2009-06-05 02:02:07,1
37,000,39.986,116.354,2009-06-05 02:02:12,0
38,000,39.986,116.354,2009-06-05 02:02:17,0
39,000,39.986,116.359,2009-06-09 03:08:51,5
40,000,39.986,116.359,2009-06-09 03:08:56,5
41,000,39.986,116.358,2009-06-09 03:09:01,4
42,000,39.986,116.357,2009-06-09 03:09:06,3
43,000,39.986,116.356,2009-06-09 03:09:11,2
44,000,39.986,116.355,2009-06-09 03:09:16,1
45,000,39.986,116.355,2009-06-09 03:09:21,1
46,000,39.986,116.354,2009-06-09 03:09:26,0
47,000,39.986,116.353,2009-06-09 03:09:31,6
